ZS|C|A*W|-99.0|0,45|-99.0|S|-99.0|0,310|-99.0|-99.0|-99.0|-99.0|Y|-99.0|-99.0|B|-99.0|C|-99.0|Y|-99.0|-99.0|B|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|-99.0|-99.0|-99.0|3|297|608|294|0.989899|0.48355263|
ZS|C|A|0,0|0,50|T|-99.0|-99.0|0,0|N|P|-99.0|1|-99.0|Y|-99.0|B|-99.0|C|-99.0|Y|-99.0|Y|-99.0|Y|SHEET*COIL|0.451,3.201|20.0,1320.0|0.0,4880.0|-99.0|0000|3|3|240|608|240|1.0|0.39473686|
-99.0|C|-99.0|-99.0|0,60|T|-99.0|2|0,0|N|P|-99.0|1|Y|-99.0|-99.0|B|-99.0|-99.0|P|Y|Y|Y|-99.0|-99.0|-99.0|-99.0|-99.0|0.0,4880.0|-99.0|-99.0|2|3|463|608|420|0.90712744|0.69078946|
ZS|-99.0|A*K|-99.0|-99.0|T|-99.0|-99.0|0,0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|B|Y|-99.0|-99.0|-99.0|-99.0|-99.0|C|-99.0|-99.0|-99.0|-99.0|0.0,4880.0|-99.0|-99.0|3|3|405|608|375|0.9259259|0.6167763|
ZS|C|A*W|0,0|-99.0|T|-99.0|-99.0|0,310|-99.0|-99.0|-99.0|1|-99.0|-99.0|-99.0|-99.0|Y|C|P|-99.0|-99.0|-99.0|-99.0|Y|-99.0|-99.0|-99.0|0.0,4880.0|N|-99.0|-99.0|3|375|608|349|0.9306667|0.5740132|
ZS|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|P|-99.0|-99.0|Y|-99.0|-99.0|-99.0|-99.0|C|-99.0|Y|Y|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|0.0,4880.0|-99.0|-99.0|-99.0|3|738|608|608|0.82384825|1.0|
ZS|C|-99.0|0,45|-99.0|-99.0|-99.0|-99.0|0,500|N|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|Y|-99.0|P|Y|-99.0|-99.0|-99.0|-99.0|-99.0|0.3,0.7|-99.0|0.0,4880.0|-99.0|0000|-99.0|3|335|608|327|0.9761194|0.5378289|
ZS|C|-99.0|0,0|0,70|T|-99.0|-99.0|0,0|N|-99.0|-99.0|1|Y|Y|Y|-99.0|Y|C|-99.0|-99.0|-99.0|-99.0|-99.0|Y|SHEET*COIL|-99.0|-99.0|-99.0|-99.0|0000*0600|3|3|569|608|506|0.8892794|0.8322368|
-99.0|-99.0|-99.0|-99.0|0,60|-99.0|-99.0|2|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|P|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|356.0,1320.0|-99.0|-99.0|-99.0|-99.0|3|498|608|443|0.88955826|0.72861844|
ZS|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|0.0,4880.0|-99.0|-99.0|-99.0|3|738|608|608|0.82384825|1.0|
